ensembl_gene_id	uniprot_gn_id	status
ENSG00000198888	P03886	reviewed
ENSG00000198888	U5Z754	unreviewed
ENSG00000198763	P03891	reviewed
ENSG00000198763	A0A1X7RBG6	unreviewed
ENSG00000198763	Q7GXY9	unreviewed
ENSG00000198804	P00395	reviewed
ENSG00000198804	U5YWV7	unreviewed
ENSG00000198804	A0A1X7RBG2	unreviewed
ENSG00000198712	P00403	reviewed
ENSG00000198712	U5Z487	unreviewed
ENSG00000198712	A0A1X7RBF7	unreviewed
ENSG00000228253	P03928	reviewed
ENSG00000228253	U5YV54	unreviewed
ENSG00000228253	A0A1X7RCP4	unreviewed
ENSG00000198899	P00846	reviewed
ENSG00000198899	Q0ZFE3	unreviewed
ENSG00000198938	P00414	reviewed
ENSG00000198938	Q7GIM7	unreviewed
ENSG00000198938	A0A1X7RBF0	unreviewed
ENSG00000198840	P03897	reviewed
ENSG00000198840	Q7GXZ5	unreviewed
ENSG00000212907	P03901	reviewed
ENSG00000212907	A0A1X7RC16	unreviewed
ENSG00000212907	Q7GXZ4	unreviewed
ENSG00000198886	P03905	reviewed
ENSG00000198886	A0A1X7RBN5	unreviewed
ENSG00000198886	H9EC08	unreviewed
ENSG00000198786	P03915	reviewed
ENSG00000198786	U5ZC31	unreviewed
ENSG00000198695	P03923	reviewed
ENSG00000198695	U5Z977	unreviewed
ENSG00000198695	A0A1X7RCR6	unreviewed
ENSG00000198727	P00156	reviewed
ENSG00000198727	Q0ZFD6	unreviewed
ENSG00000277339	P48146	reviewed
ENSG00000276876	Q01538	reviewed
ENSG00000276876	Q6P6D5	unreviewed
ENSG00000280663	Q9NV79	reviewed
ENSG00000280663	V9GZ41	unreviewed
ENSG00000280663	V9GYZ7	unreviewed
ENSG00000280663	V9GYL1	unreviewed
ENSG00000280663	A0A0G2JR02	unreviewed
ENSG00000280663	A0A0G2JM70	unreviewed
ENSG00000275433	A0A0G2JQ37	unreviewed
ENSG00000273947	A0A0G2JNW9	unreviewed
ENSG00000273510	Q6H2H3	unreviewed
ENSG00000278079	Q6H2G3	unreviewed
ENSG00000278079	A0A0G2JM66	unreviewed
ENSG00000273502	A0A0G2JPI1	unreviewed
ENSG00000273502	A0A0G2JNR7	unreviewed
ENSG00000274696	A0A0C4ZQX3	unreviewed
ENSG00000274696	A0A0G2JLS9	unreviewed
ENSG00000276218	P43628	reviewed
ENSG00000276218	E3NZD8	unreviewed
ENSG00000276310	Q6H2H3	unreviewed
ENSG00000277484	P43628	reviewed
