ensembl_gene_id	uniprot_gn_id	status	N.gly	O.gly	ds	signal.peptide
ENSG00000198888	P03886	reviewed	0	0	0	FALSE
ENSG00000198763	P03891	reviewed	0	0	0	FALSE
ENSG00000198804	P00395	reviewed	0	0	0	FALSE
ENSG00000198712	P00403	reviewed	0	0	0	FALSE
ENSG00000228253	P03928	reviewed	0	0	0	FALSE
ENSG00000198899	P00846	reviewed	0	0	0	FALSE
ENSG00000198938	P00414	reviewed	0	0	0	FALSE
ENSG00000198840	P03897	reviewed	0	0	0	FALSE
ENSG00000212907	P03901	reviewed	0	0	0	FALSE
ENSG00000198886	P03905	reviewed	0	0	0	FALSE
ENSG00000198786	P03915	reviewed	0	0	0	FALSE
ENSG00000198695	P03923	reviewed	0	0	0	FALSE
ENSG00000198727	P00156	reviewed	0	0	0	FALSE
ENSG00000277339	P48146	reviewed	3	0	1	FALSE
ENSG00000276876	Q01538	reviewed	0	0	0	FALSE
ENSG00000280663	Q9NV79	reviewed	0	0	0	FALSE
ENSG00000276218	P43628	reviewed	3	0	2	TRUE
ENSG00000277484	P43628	reviewed	3	0	2	TRUE
ENSG00000275416	P43630	reviewed	4	0	3	TRUE
ENSG00000276395	P43632	reviewed	5	0	2	TRUE
ENSG00000273738	P24071	reviewed	5	0	2	TRUE
ENSG00000276590	P43628	reviewed	3	0	2	TRUE
ENSG00000274830	P43628	reviewed	3	0	2	TRUE
ENSG00000273887	P43628	reviewed	3	0	2	TRUE
ENSG00000274639	Q8N743	reviewed	3	0	3	TRUE
ENSG00000277885	P43631	reviewed	3	0	2	TRUE
ENSG00000276011	P43627	reviewed	3	0	2	TRUE
ENSG00000276004	P43630	reviewed	4	0	3	TRUE
ENSG00000275937	Q8NHK3	reviewed	1	0	2	TRUE
ENSG00000278306	Q14952	reviewed	3	0	2	TRUE
ENSG00000276459	P43628	reviewed	3	0	2	TRUE
ENSG00000274947	P43632	reviewed	5	0	2	TRUE
ENSG00000278442	P43630	reviewed	4	0	3	TRUE
ENSG00000274402	P43628	reviewed	3	0	2	TRUE
ENSG00000275452	P43631	reviewed	3	0	2	TRUE
ENSG00000276327	Q14954	reviewed	4	0	2	TRUE
ENSG00000276423	P43629	reviewed	3	0	3	TRUE
ENSG00000275083	P43630	reviewed	4	0	3	TRUE
ENSG00000278474	P43630	reviewed	4	0	3	TRUE
ENSG00000276154	P43632	reviewed	5	0	2	TRUE
ENSG00000276357	P43630	reviewed	4	0	3	TRUE
ENSG00000274722	P43630	reviewed	4	0	3	TRUE
ENSG00000276985	P24071	reviewed	5	0	2	TRUE
ENSG00000276885	P43632	reviewed	5	0	2	TRUE
ENSG00000276333	Q96QI5	reviewed	1	0	1	FALSE
ENSG00000275269	P24071	reviewed	5	0	2	TRUE
ENSG00000277554	P43628	reviewed	3	0	2	TRUE
ENSG00000275970	P24071	reviewed	5	0	2	TRUE
ENSG00000274108	P43628	reviewed	3	0	2	TRUE
ENSG00000277317	P43628	reviewed	3	0	2	TRUE
ENSG00000278091	Q03923	reviewed	0	0	0	FALSE
ENSG00000275288	P43629	reviewed	3	0	3	TRUE
ENSG00000274406	P43632	reviewed	5	0	2	TRUE
ENSG00000276858	P24071	reviewed	5	0	2	TRUE
ENSG00000278788	Q9Y2G9	reviewed	0	0	0	FALSE
ENSG00000263090	Q9BYQ4	reviewed	0	0	0	FALSE
