ensembl_gene_id	uniprot_gn_id	N.gly	O.gly	signal.peptide
ENSG00000198888	P03886	NA	NA	FALSE
ENSG00000198888	U5Z754	NA	NA	FALSE
ENSG00000198763	P03891	NA	NA	FALSE
ENSG00000198763	A0A1X7RBG6	NA	NA	FALSE
ENSG00000198763	Q7GXY9	NA	NA	FALSE
ENSG00000198804	P00395	NA	NA	FALSE
ENSG00000198804	U5YWV7	NA	NA	FALSE
ENSG00000198804	A0A1X7RBG2	NA	NA	FALSE
ENSG00000198712	P00403	NA	NA	FALSE
ENSG00000198712	U5Z487	NA	NA	FALSE
ENSG00000198712	A0A1X7RBF7	NA	NA	FALSE
ENSG00000228253	P03928	NA	NA	FALSE
ENSG00000228253	U5YV54	NA	NA	FALSE
ENSG00000228253	A0A1X7RCP4	NA	NA	FALSE
ENSG00000198899	P00846	NA	NA	FALSE
ENSG00000198899	Q0ZFE3	NA	NA	FALSE
ENSG00000198938	P00414	NA	NA	FALSE
ENSG00000198938	Q7GIM7	NA	NA	FALSE
ENSG00000198938	A0A1X7RBF0	NA	NA	FALSE
ENSG00000198840	P03897	NA	NA	FALSE
ENSG00000198840	Q7GXZ5	NA	NA	FALSE
ENSG00000212907	P03901	NA	NA	FALSE
ENSG00000212907	A0A1X7RC16	NA	NA	FALSE
ENSG00000212907	Q7GXZ4	NA	NA	FALSE
ENSG00000198886	P03905	NA	NA	FALSE
ENSG00000198886	A0A1X7RBN5	NA	NA	FALSE
ENSG00000198886	H9EC08	NA	NA	FALSE
ENSG00000198786	P03915	NA	NA	FALSE
ENSG00000198786	U5ZC31	NA	NA	TRUE
ENSG00000198695	P03923	NA	NA	FALSE
ENSG00000198695	U5Z977	NA	NA	TRUE
ENSG00000198695	A0A1X7RCR6	NA	NA	TRUE
ENSG00000198727	P00156	NA	NA	FALSE
ENSG00000198727	Q0ZFD6	NA	NA	FALSE
ENSG00000277339	P48146	3	0	FALSE
ENSG00000276876	Q01538	NA	NA	FALSE
ENSG00000276876	Q6P6D5	NA	NA	FALSE
ENSG00000280663	Q9NV79	NA	NA	FALSE
ENSG00000280663	V9GZ41	NA	NA	FALSE
ENSG00000280663	V9GYZ7	NA	NA	FALSE
ENSG00000280663	V9GYL1	NA	NA	FALSE
ENSG00000280663	A0A0G2JR02	NA	NA	FALSE
ENSG00000280663	A0A0G2JM70	NA	NA	FALSE
ENSG00000275433	A0A0G2JQ37	NA	NA	FALSE
ENSG00000273947	A0A0G2JNW9	NA	NA	TRUE
ENSG00000273510	Q6H2H3	NA	NA	TRUE
ENSG00000278079	Q6H2G3	NA	NA	TRUE
ENSG00000278079	A0A0G2JM66	NA	NA	TRUE
ENSG00000273502	A0A0G2JPI1	NA	NA	TRUE
ENSG00000273502	A0A0G2JNR7	NA	NA	TRUE
ENSG00000274696	A0A0C4ZQX3	NA	NA	TRUE
ENSG00000274696	A0A0G2JLS9	NA	NA	TRUE
ENSG00000276218	P43628	3	0	TRUE
ENSG00000276218	E3NZD8	NA	NA	TRUE
ENSG00000276310	Q6H2H3	NA	NA	TRUE
ENSG00000277484	P43628	3	0	TRUE
ENSG00000277484	E3NZD8	NA	NA	TRUE
ENSG00000273775	Q6H2G3	NA	NA	TRUE
ENSG00000273775	A0A0G2JM66	NA	NA	TRUE
ENSG00000273526	A0A0G2JNE3	NA	NA	TRUE
ENSG00000274782	A0A0G2JQ06	NA	NA	TRUE
ENSG00000275416	P43630	4	0	TRUE
ENSG00000275416	A0A0G2JMS0	NA	NA	TRUE
ENSG00000274955	A0A0G2JLM4	NA	NA	TRUE
ENSG00000274955	A0A0G2JPS9	NA	NA	TRUE
ENSG00000275172	A0A0G2JNI5	NA	NA	TRUE
ENSG00000276395	P43632	5	0	TRUE
ENSG00000276395	A0A0C4ZN05	NA	NA	TRUE
ENSG00000278850	Q6H2F6	NA	NA	TRUE
ENSG00000278850	A0A0G2JLM7	NA	NA	TRUE
ENSG00000273738	P24071	5	0	TRUE
ENSG00000273738	A0A024R4N4	NA	NA	TRUE
ENSG00000273738	A0A024R4M5	NA	NA	TRUE
ENSG00000273738	A0A024R4R4	NA	NA	FALSE
ENSG00000276425	K7R1S5	NA	NA	TRUE
ENSG00000273578	Q8N742	NA	NA	TRUE
ENSG00000274786	A0A0G2JNI5	NA	NA	TRUE
ENSG00000277355	A0A0G2JNE8	NA	NA	TRUE
ENSG00000277355	Q86U48	NA	NA	TRUE
ENSG00000274724	A0A0G2JM09	NA	NA	TRUE
ENSG00000276379	A0A0G2JQ40	NA	NA	TRUE
ENSG00000274556	A0A0G2JLZ2	NA	NA	TRUE
ENSG00000276258	K7R1S5	NA	NA	TRUE
ENSG00000276590	P43628	3	0	TRUE
ENSG00000276590	E3NZD8	NA	NA	TRUE
ENSG00000275407	A0A0C4ZN23	NA	NA	TRUE
ENSG00000275946	B0L653	NA	NA	TRUE
ENSG00000275750	Q6H2H3	NA	NA	TRUE
ENSG00000274830	P43628	3	0	TRUE
ENSG00000278805	Q6H2H2	NA	NA	TRUE
ENSG00000273794	A0A0G2JQ05	NA	NA	TRUE
ENSG00000274189	A0A0G2JN69	NA	NA	FALSE
ENSG00000274189	K7RE46	NA	NA	TRUE
ENSG00000276498	O43469	NA	NA	TRUE
ENSG00000276498	A0A0G2JMV4	NA	NA	TRUE
ENSG00000275513	A0A0C4ZR07	NA	NA	TRUE
ENSG00000276329	Q5UCD8	NA	NA	TRUE
ENSG00000275637	A0A0G2JMJ3	NA	NA	TRUE
ENSG00000275637	A0A0G2JNH1	NA	NA	FALSE
ENSG00000275637	A0A0G2JM44	NA	NA	TRUE
ENSG00000275637	A0A0G2JN63	NA	NA	FALSE
ENSG00000273575	A0A0B4J1S6	NA	NA	TRUE
ENSG00000273575	E7EST5	NA	NA	FALSE
ENSG00000273575	A0A0G2JMD1	NA	NA	TRUE
ENSG00000273575	A0A376A929	NA	NA	TRUE
ENSG00000273575	A0A0G2JQ39	NA	NA	TRUE
ENSG00000274438	K7R1S5	NA	NA	TRUE
ENSG00000275914	A0A0C4ZN23	NA	NA	TRUE
ENSG00000276392	B0L652	NA	NA	TRUE
ENSG00000275436	A0A330IXA5	NA	NA	TRUE
ENSG00000277193	K7RE56	NA	NA	TRUE
ENSG00000278758	A0A0G2JP93	NA	NA	TRUE
ENSG00000278758	A0A0G2JM36	NA	NA	TRUE
ENSG00000277272	Q6H2G3	NA	NA	TRUE
ENSG00000277272	A0A0G2JM66	NA	NA	TRUE
ENSG00000277657	K7QT50	NA	NA	TRUE
ENSG00000278207	A0A0G2JQ35	NA	NA	TRUE
ENSG00000277028	A0A0C4ZNX4	NA	NA	TRUE
ENSG00000274948	Q5UCD9	NA	NA	TRUE
ENSG00000276424	A0A0G2JPQ5	NA	NA	TRUE
ENSG00000276424	A0A0G2JM59	NA	NA	TRUE
ENSG00000281486	A0A0G2JR78	NA	NA	FALSE
ENSG00000275848	K7QUT1	NA	NA	TRUE
ENSG00000273887	P43628	3	0	TRUE
ENSG00000276433	A0A0C4ZR07	NA	NA	TRUE
ENSG00000278495	A0A0G2JQ05	NA	NA	TRUE
ENSG00000277552	A0A0C4ZR07	NA	NA	TRUE
ENSG00000278152	K7R1S5	NA	NA	TRUE
ENSG00000278152	A0A0G2JND2	NA	NA	TRUE
ENSG00000274639	Q8N743	3	0	TRUE
ENSG00000277620	A0A0G2JN57	NA	NA	TRUE
ENSG00000277885	P43631	3	0	TRUE
ENSG00000277885	K7R1S5	NA	NA	TRUE
ENSG00000274920	Q8N152	NA	NA	TRUE
ENSG00000274920	A0A0G2JN47	NA	NA	TRUE
ENSG00000276011	P43627	3	0	TRUE
ENSG00000276011	A0A0C4ZN23	NA	NA	TRUE
ENSG00000276004	P43630	4	0	TRUE
ENSG00000276004	A0A0U5FLC8	NA	NA	TRUE
ENSG00000276004	A0A0G2JMI1	NA	NA	TRUE
ENSG00000275937	Q8NHK3	1	0	TRUE
ENSG00000275937	A0A330IXA5	NA	NA	TRUE
ENSG00000276084	A0A0C4ZQX3	NA	NA	TRUE
ENSG00000278306	Q14952	3	0	TRUE
ENSG00000278306	K7QT50	NA	NA	TRUE
ENSG00000274518	K7R1S5	NA	NA	TRUE
ENSG00000276820	Q6H2H2	NA	NA	TRUE
ENSG00000278731	A0A0C4ZN23	NA	NA	TRUE
ENSG00000275732	A0A0G2JNE8	NA	NA	TRUE
ENSG00000275732	Q86U48	NA	NA	TRUE
ENSG00000275317	A0A0G2JQ13	NA	NA	TRUE
ENSG00000275317	A0A0G2JNG7	NA	NA	TRUE
ENSG00000276459	P43628	3	0	TRUE
ENSG00000276459	E3NZD8	NA	NA	TRUE
ENSG00000278490	A0A0G2JM09	NA	NA	TRUE
ENSG00000274947	P43632	5	0	TRUE
ENSG00000274947	A0A0C4ZN05	NA	NA	TRUE
ENSG00000277616	E7BWR8	NA	NA	TRUE
ENSG00000278248	Q6H2H3	NA	NA	TRUE
ENSG00000278442	P43630	4	0	TRUE
ENSG00000278442	A0A0G2JMS0	NA	NA	TRUE
ENSG00000274402	P43628	3	0	TRUE
ENSG00000274402	E3NZD8	NA	NA	TRUE
ENSG00000273661	Q8N742	NA	NA	TRUE
ENSG00000277833	Q6H2H3	NA	NA	TRUE
ENSG00000276518	A0A0G2JN01	NA	NA	TRUE
ENSG00000274945	A0A0G2JMQ9	NA	NA	TRUE
ENSG00000274945	A0A0G2JNE8	NA	NA	TRUE
ENSG00000274945	A0A0G2JNI1	NA	NA	TRUE
ENSG00000274945	A0A0G2JN69	NA	NA	FALSE
ENSG00000274945	K7RE46	NA	NA	TRUE
ENSG00000274193	A0A0G2JNE8	NA	NA	TRUE
ENSG00000274193	Q86U48	NA	NA	TRUE
ENSG00000276139	K7R1S5	NA	NA	TRUE
ENSG00000276139	A0A0G2JPR7	NA	NA	TRUE
ENSG00000278369	A0A0G2JPP8	NA	NA	TRUE
ENSG00000275546	A0A0C4ZN23	NA	NA	TRUE
ENSG00000274480	A0A0G2JNJ1	NA	NA	TRUE
ENSG00000275452	P43631	3	0	TRUE
ENSG00000275452	K7R1S5	NA	NA	TRUE
ENSG00000275452	A0A0G2JND2	NA	NA	TRUE
ENSG00000276501	Q5UCD8	NA	NA	TRUE
ENSG00000278606	A0A0G2JMQ9	NA	NA	TRUE
ENSG00000278606	A0A0G2JNI1	NA	NA	TRUE
ENSG00000278606	A0A0G2JN69	NA	NA	FALSE
ENSG00000278606	K7RE46	NA	NA	TRUE
ENSG00000277076	K7QUT1	NA	NA	TRUE
ENSG00000277076	A0A0G2JPN7	NA	NA	TRUE
ENSG00000277076	A0A0G2JMV5	NA	NA	TRUE
ENSG00000277076	A0A0G2JMF5	NA	NA	TRUE
ENSG00000277076	A0A0G2JPE3	NA	NA	TRUE
ENSG00000274465	O43469	NA	NA	TRUE
ENSG00000274465	A0A0G2JMV4	NA	NA	TRUE
ENSG00000275080	A0A0G2JPY8	NA	NA	TRUE
ENSG00000278856	Q6H2G3	NA	NA	TRUE
ENSG00000278856	A0A0G2JM66	NA	NA	TRUE
ENSG00000275659	A0A0G2JNM4	NA	NA	TRUE
ENSG00000275659	A0A0G2JN48	NA	NA	TRUE
ENSG00000276534	O43469	NA	NA	TRUE
ENSG00000275786	A0A0G2JLX2	NA	NA	TRUE
ENSG00000275786	A0A0G2JMK7	NA	NA	TRUE
ENSG00000275786	A0A0G2JPH7	NA	NA	TRUE
ENSG00000275486	Q5UCD8	NA	NA	TRUE
ENSG00000276044	A0A0B4J1S6	NA	NA	TRUE
ENSG00000276044	E7EST5	NA	NA	FALSE
ENSG00000276044	A0A0G2JLN0	NA	NA	TRUE
ENSG00000276044	A0A376A929	NA	NA	TRUE
ENSG00000277725	Q8N742	NA	NA	TRUE
ENSG00000274610	A0A0G2JN09	NA	NA	TRUE
ENSG00000275237	A0A0B4J1S6	NA	NA	TRUE
ENSG00000275237	E7EST5	NA	NA	FALSE
ENSG00000278116	B0L652	NA	NA	TRUE
ENSG00000275500	K7RE56	NA	NA	TRUE
ENSG00000276327	Q14954	4	0	TRUE
ENSG00000274676	A0A191URI1	NA	NA	TRUE
ENSG00000276882	A0A0G2JP93	NA	NA	TRUE
ENSG00000276882	A0A0G2JM36	NA	NA	TRUE
ENSG00000276423	P43629	3	0	TRUE
ENSG00000276423	Q5UCE2	NA	NA	TRUE
ENSG00000273735	A0A0G2JNA1	NA	NA	TRUE
ENSG00000273735	A0A0G2JP59	NA	NA	TRUE
ENSG00000275083	P43630	4	0	TRUE
ENSG00000275083	A0A0U1WNF3	NA	NA	TRUE
ENSG00000274146	Q8N152	NA	NA	TRUE
ENSG00000274146	A0A0G2JN47	NA	NA	TRUE
ENSG00000278474	P43630	4	0	TRUE
ENSG00000278474	A0A0G2JMS0	NA	NA	TRUE
ENSG00000276154	P43632	5	0	TRUE
ENSG00000276154	A0A0C4ZN05	NA	NA	TRUE
ENSG00000276357	P43630	4	0	TRUE
ENSG00000276357	A0A0G2JMS0	NA	NA	TRUE
ENSG00000274722	P43630	4	0	TRUE
ENSG00000274722	A0A0U1WNF3	NA	NA	TRUE
ENSG00000276985	P24071	5	0	TRUE
ENSG00000276985	A0A024R4N4	NA	NA	TRUE
ENSG00000276985	A0A024R4M5	NA	NA	TRUE
ENSG00000276985	A0A024R4R4	NA	NA	FALSE
ENSG00000276885	P43632	5	0	TRUE
ENSG00000276885	A0A0C4ZN05	NA	NA	TRUE
ENSG00000276333	Q96QI5	1	0	FALSE
ENSG00000275629	A0A0G2JLX7	NA	NA	TRUE
ENSG00000275629	Q8NHK6	NA	NA	TRUE
ENSG00000276328	A0A0C4ZQX3	NA	NA	TRUE
ENSG00000278656	Q9BQU0	NA	NA	TRUE
ENSG00000278656	A0A0G2JPA6	NA	NA	TRUE
ENSG00000275269	P24071	5	0	TRUE
ENSG00000275269	A0A024R4N4	NA	NA	TRUE
ENSG00000275269	A0A024R4M5	NA	NA	TRUE
ENSG00000275269	A0A024R4R4	NA	NA	FALSE
ENSG00000277554	P43628	3	0	TRUE
